FREQ;GEO;UNIT;AID_INSTR\TIME_PERIOD;2000 ;2001 ;2002 ;2003 ;2004 ;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 
A;ES;PC_TOT;GRANT;61.2 ;86.5 ;79.2 ;77 ;74.3 ;71.3 ;63.1 ;63 ;55.9 ;58.9 ;58.9 ;53.4 ;47.4 ;60.3 ;73.7 ;82.2 ;84 ;66.3 
A;EU28;PC_TOT;GRANT;62.2 ;62.6 ;55.4 ;52.2 ;55.3 ;55.5 ;65 ;50.1 ;43.3 ;51.8 ;51.7 ;53.6 ;54.1 ;53.4 ;63 ;61 ;61.7 ;63.9 
A;FI;PC_TOT;GRANT;83.5 ;70.4 ;71.3 ;56.6 ;55.9 ;60.4 ;66.2 ;65.2 ;65.8 ;67.1 ;65 ;42.1 ;53.5 ;50.8 ;48.1 ;42.4 ;40.9 ;45.9 
A;FR;PC_TOT;GRANT;63.6 ;66.8 ;54.5 ;58.9 ;62.1 ;50.7 ;85 ;49.3 ;33.1 ;36.1 ;39 ;48.2 ;46.7 ;44.8 ;40.2 ;37.1 ;44.8 ;45.4 
A;HR;PC_TOT;GRANT;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;84.3 ;66.8 ;35.4 ;32.6 ;86.8 
A;HU;PC_TOT;GRANT;20.6 ;39.6 ;42.3 ;27.3 ;51.5 ;39 ;39.4 ;36 ;56.4 ;56.6 ;63.7 ;55.3 ;71.4 ;78.2 ;78.3 ;82.3 ;93 ;92.2 
A;IE;PC_TOT;GRANT;23.3 ;28.3 ;37.9 ;44.1 ;34.6 ;33.3 ;39.2 ;46.5 ;46.1 ;38.7 ;39.5 ;45.7 ;50.5 ;68.6 ;42.5 ;61.9 ;90.3 ;89.7 
A;IT;PC_TOT;GRANT;70.6 ;80.8 ;76.6 ;64.7 ;68.2 ;65.1 ;77.2 ;76.9 ;77.9 ;84.8 ;80.9 ;84.1 ;85.4 ;77.5 ;77.7 ;71.8 ;77.4 ;58.3 
A;LT;PC_TOT;GRANT;3.1 ;6.7 ;1.4 ;1.2 ;30.7 ;51.4 ;70.2 ;44.3 ;53.6 ;67.7 ;94.5 ;91.2 ;91.3 ;94.7 ;85.6 ;59.7 ;20.2 ;37.6 
A;LU;PC_TOT;GRANT;96.2 ;96.4 ;96.5 ;96.8 ;97.6 ;98.5 ;97.3 ;93.6 ;93.2 ;98.7 ;100 ;99.7 ;99.9 ;100 ;100 ;84.6 ;80.4 ;94.1 
